Holiday,Date
Wniebowzięcie NMP,2051-08-15
Dzień Wszystkich Świętych,2051-11-01
Narodowe Święto Niepodległości,2051-11-11
Wigilia Bożego Narodzenia,2051-12-24
Boże Narodzenie – pierwszy dzień świąt,2051-12-25
Boże Narodzenie – drugi dzień świąt,2051-12-26
Nowy Rok,2052-01-01
Trzech Króli,2052-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2052-04-21
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2052-04-22
1 Maja – Święto Pracy,2052-05-01
Święto Konstytucji 3 Maja,2052-05-03
Zesłanie Ducha Świętego,2052-06-09
Boże Ciało,2052-06-20
Wniebowzięcie NMP,2052-08-15
Dzień Wszystkich Świętych,2052-11-01
Narodowe Święto Niepodległości,2052-11-11
Wigilia Bożego Narodzenia,2052-12-24
Boże Narodzenie – pierwszy dzień świąt,2052-12-25
Boże Narodzenie – drugi dzień świąt,2052-12-26
Nowy Rok,2053-01-01
Trzech Króli,2053-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2053-04-06
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2053-04-07
1 Maja – Święto Pracy,2053-05-01
Święto Konstytucji 3 Maja,2053-05-03
Zesłanie Ducha Świętego,2053-05-25
Boże Ciało,2053-06-05
Wniebowzięcie NMP,2053-08-15
Dzień Wszystkich Świętych,2053-11-01
Narodowe Święto Niepodległości,2053-11-11
Wigilia Bożego Narodzenia,2053-12-24
Boże Narodzenie – pierwszy dzień świąt,2053-12-25
Boże Narodzenie – drugi dzień świąt,2053-12-26
Nowy Rok,2054-01-01
Trzech Króli,2054-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2054-03-29
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2054-03-30
1 Maja – Święto Pracy,2054-05-01
Święto Konstytucji 3 Maja,2054-05-03
Zesłanie Ducha Świętego,2054-05-17
Boże Ciało,2054-05-28
Wniebowzięcie NMP,2054-08-15
Dzień Wszystkich Świętych,2054-11-01
Narodowe Święto Niepodległości,2054-11-11
Wigilia Bożego Narodzenia,2054-12-24
Boże Narodzenie – pierwszy dzień świąt,2054-12-25
Boże Narodzenie – drugi dzień świąt,2054-12-26
Nowy Rok,2055-01-01
Trzech Króli,2055-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2055-04-18
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2055-04-19
1 Maja – Święto Pracy,2055-05-01
Święto Konstytucji 3 Maja,2055-05-03
Zesłanie Ducha Świętego,2055-06-06
Boże Ciało,2055-06-17
Wniebowzięcie NMP,2055-08-15
Dzień Wszystkich Świętych,2055-11-01
Narodowe Święto Niepodległości,2055-11-11
Wigilia Bożego Narodzenia,2055-12-24
Boże Narodzenie – pierwszy dzień świąt,2055-12-25
Boże Narodzenie – drugi dzień świąt,2055-12-26
Nowy Rok,2056-01-01
Trzech Króli,2056-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2056-04-02
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2056-04-03
1 Maja – Święto Pracy,2056-05-01
Święto Konstytucji 3 Maja,2056-05-03
Zesłanie Ducha Świętego,2056-05-21
